number of Bacteria : 
{59810}
---------
number of Eukaryota : 
{36377}
---------
number of Archaea : 
{2207}
---------
shape of dataframe : (98394, 12927)
Epoch [1/10], Training Loss: 0.2230
Epoch [1/10], Validation Loss: 0.1435
Epoch [1/10], Validation Accuracy: 95.7313%
Epoch [2/10], Training Loss: 0.1008
Epoch [2/10], Validation Loss: 0.0771
Epoch [2/10], Validation Accuracy: 97.3473%
Epoch [3/10], Training Loss: 0.0773
Epoch [3/10], Validation Loss: 0.0534
Epoch [3/10], Validation Accuracy: 97.8250%
Epoch [4/10], Training Loss: 0.0561
Epoch [4/10], Validation Loss: 0.0394
Epoch [4/10], Validation Accuracy: 99.1869%
Epoch [5/10], Training Loss: 0.0397
Epoch [5/10], Validation Loss: 0.0334
Epoch [5/10], Validation Accuracy: 99.2581%
Epoch [6/10], Training Loss: 0.0426
Epoch [6/10], Validation Loss: 0.0298
Epoch [6/10], Validation Accuracy: 99.4003%
Epoch [7/10], Training Loss: 0.0270
Epoch [7/10], Validation Loss: 0.0274
Epoch [7/10], Validation Accuracy: 99.4512%
Epoch [8/10], Training Loss: 0.0167
Epoch [8/10], Validation Loss: 0.0251
Epoch [8/10], Validation Accuracy: 99.5325%
Epoch [9/10], Training Loss: 0.0206
Epoch [9/10], Validation Loss: 0.0239
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0290
Epoch [10/10], Validation Loss: 0.0227
Epoch [10/10], Validation Accuracy: 99.6748%
Got to iteration 1 in 17.074923992156982 seconds
Epoch [1/10], Training Loss: 0.1466
Epoch [1/10], Validation Loss: 0.1013
Epoch [1/10], Validation Accuracy: 97.1440%
Epoch [2/10], Training Loss: 0.0674
Epoch [2/10], Validation Loss: 0.0523
Epoch [2/10], Validation Accuracy: 97.8555%
Epoch [3/10], Training Loss: 0.0580
Epoch [3/10], Validation Loss: 0.0333
Epoch [3/10], Validation Accuracy: 99.1666%
Epoch [4/10], Training Loss: 0.0429
Epoch [4/10], Validation Loss: 0.0257
Epoch [4/10], Validation Accuracy: 99.1361%
Epoch [5/10], Training Loss: 0.0720
Epoch [5/10], Validation Loss: 0.0221
Epoch [5/10], Validation Accuracy: 99.4308%
Epoch [6/10], Training Loss: 0.0608
Epoch [6/10], Validation Loss: 0.0193
Epoch [6/10], Validation Accuracy: 99.5223%
Epoch [7/10], Training Loss: 0.0283
Epoch [7/10], Validation Loss: 0.0176
Epoch [7/10], Validation Accuracy: 99.5935%
Epoch [8/10], Training Loss: 0.0557
Epoch [8/10], Validation Loss: 0.0165
Epoch [8/10], Validation Accuracy: 99.6138%
Epoch [9/10], Training Loss: 0.0245
Epoch [9/10], Validation Loss: 0.0151
Epoch [9/10], Validation Accuracy: 99.6443%
Epoch [10/10], Training Loss: 0.0173
Epoch [10/10], Validation Loss: 0.0143
Epoch [10/10], Validation Accuracy: 99.6748%
Got to iteration 2 in 31.66070246696472 seconds
Epoch [1/10], Training Loss: 0.2029
Epoch [1/10], Validation Loss: 0.1156
Epoch [1/10], Validation Accuracy: 96.9407%
Epoch [2/10], Training Loss: 0.0678
Epoch [2/10], Validation Loss: 0.0628
Epoch [2/10], Validation Accuracy: 97.6014%
Epoch [3/10], Training Loss: 0.0835
Epoch [3/10], Validation Loss: 0.0417
Epoch [3/10], Validation Accuracy: 98.8109%
Epoch [4/10], Training Loss: 0.0291
Epoch [4/10], Validation Loss: 0.0326
Epoch [4/10], Validation Accuracy: 99.2174%
Epoch [5/10], Training Loss: 0.0601
Epoch [5/10], Validation Loss: 0.0291
Epoch [5/10], Validation Accuracy: 99.3190%
Epoch [6/10], Training Loss: 0.0493
Epoch [6/10], Validation Loss: 0.0260
Epoch [6/10], Validation Accuracy: 99.4410%
Epoch [7/10], Training Loss: 0.0288
Epoch [7/10], Validation Loss: 0.0239
Epoch [7/10], Validation Accuracy: 99.5426%
Epoch [8/10], Training Loss: 0.0192
Epoch [8/10], Validation Loss: 0.0226
Epoch [8/10], Validation Accuracy: 99.5528%
Epoch [9/10], Training Loss: 0.0309
Epoch [9/10], Validation Loss: 0.0215
Epoch [9/10], Validation Accuracy: 99.5935%
Epoch [10/10], Training Loss: 0.0168
Epoch [10/10], Validation Loss: 0.0204
Epoch [10/10], Validation Accuracy: 99.6544%
Got to iteration 3 in 46.38146924972534 seconds
Epoch [1/10], Training Loss: 0.1412
Epoch [1/10], Validation Loss: 0.1011
Epoch [1/10], Validation Accuracy: 96.9306%
Epoch [2/10], Training Loss: 0.1130
Epoch [2/10], Validation Loss: 0.0471
Epoch [2/10], Validation Accuracy: 98.5669%
Epoch [3/10], Training Loss: 0.0457
Epoch [3/10], Validation Loss: 0.0333
Epoch [3/10], Validation Accuracy: 99.2581%
Epoch [4/10], Training Loss: 0.0488
Epoch [4/10], Validation Loss: 0.0281
Epoch [4/10], Validation Accuracy: 99.3190%
Epoch [5/10], Training Loss: 0.0174
Epoch [5/10], Validation Loss: 0.0255
Epoch [5/10], Validation Accuracy: 99.4715%
Epoch [6/10], Training Loss: 0.0109
Epoch [6/10], Validation Loss: 0.0233
Epoch [6/10], Validation Accuracy: 99.5630%
Epoch [7/10], Training Loss: 0.0251
Epoch [7/10], Validation Loss: 0.0221
Epoch [7/10], Validation Accuracy: 99.6138%
Epoch [8/10], Training Loss: 0.0177
Epoch [8/10], Validation Loss: 0.0212
Epoch [8/10], Validation Accuracy: 99.6646%
Epoch [9/10], Training Loss: 0.0138
Epoch [9/10], Validation Loss: 0.0203
Epoch [9/10], Validation Accuracy: 99.6646%
Epoch [10/10], Training Loss: 0.0252
Epoch [10/10], Validation Loss: 0.0196
Epoch [10/10], Validation Accuracy: 99.6951%
Got to iteration 4 in 60.956480979919434 seconds
Epoch [1/10], Training Loss: 0.1386
Epoch [1/10], Validation Loss: 0.1097
Epoch [1/10], Validation Accuracy: 97.0017%
Epoch [2/10], Training Loss: 0.0537
Epoch [2/10], Validation Loss: 0.0551
Epoch [2/10], Validation Accuracy: 98.2722%
Epoch [3/10], Training Loss: 0.0835
Epoch [3/10], Validation Loss: 0.0381
Epoch [3/10], Validation Accuracy: 99.1361%
Epoch [4/10], Training Loss: 0.0607
Epoch [4/10], Validation Loss: 0.0302
Epoch [4/10], Validation Accuracy: 99.1869%
Epoch [5/10], Training Loss: 0.0481
Epoch [5/10], Validation Loss: 0.0262
Epoch [5/10], Validation Accuracy: 99.3292%
Epoch [6/10], Training Loss: 0.0361
Epoch [6/10], Validation Loss: 0.0237
Epoch [6/10], Validation Accuracy: 99.4613%
Epoch [7/10], Training Loss: 0.0402
Epoch [7/10], Validation Loss: 0.0216
Epoch [7/10], Validation Accuracy: 99.5528%
Epoch [8/10], Training Loss: 0.0176
Epoch [8/10], Validation Loss: 0.0200
Epoch [8/10], Validation Accuracy: 99.6544%
Epoch [9/10], Training Loss: 0.0513
Epoch [9/10], Validation Loss: 0.0188
Epoch [9/10], Validation Accuracy: 99.7053%
Epoch [10/10], Training Loss: 0.0184
Epoch [10/10], Validation Loss: 0.0178
Epoch [10/10], Validation Accuracy: 99.7256%
Got to iteration 5 in 75.64973592758179 seconds
Epoch [1/10], Training Loss: 0.1679
Epoch [1/10], Validation Loss: 0.1246
Epoch [1/10], Validation Accuracy: 96.6562%
Epoch [2/10], Training Loss: 0.1169
Epoch [2/10], Validation Loss: 0.0634
Epoch [2/10], Validation Accuracy: 97.4794%
Epoch [3/10], Training Loss: 0.0764
Epoch [3/10], Validation Loss: 0.0393
Epoch [3/10], Validation Accuracy: 99.0243%
Epoch [4/10], Training Loss: 0.0449
Epoch [4/10], Validation Loss: 0.0316
Epoch [4/10], Validation Accuracy: 99.1463%
Epoch [5/10], Training Loss: 0.0595
Epoch [5/10], Validation Loss: 0.0274
Epoch [5/10], Validation Accuracy: 99.2174%
Epoch [6/10], Training Loss: 0.0202
Epoch [6/10], Validation Loss: 0.0246
Epoch [6/10], Validation Accuracy: 99.3394%
Epoch [7/10], Training Loss: 0.0458
Epoch [7/10], Validation Loss: 0.0223
Epoch [7/10], Validation Accuracy: 99.5020%
Epoch [8/10], Training Loss: 0.0245
Epoch [8/10], Validation Loss: 0.0206
Epoch [8/10], Validation Accuracy: 99.5731%
Epoch [9/10], Training Loss: 0.0194
Epoch [9/10], Validation Loss: 0.0195
Epoch [9/10], Validation Accuracy: 99.6341%
Epoch [10/10], Training Loss: 0.0319
Epoch [10/10], Validation Loss: 0.0183
Epoch [10/10], Validation Accuracy: 99.6443%
Got to iteration 6 in 90.14251494407654 seconds
Epoch [1/10], Training Loss: 0.1317
Epoch [1/10], Validation Loss: 0.1222
